ID,Organism,type
"gi|132051|sp|P00875.1|RBL_SPIOL RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit; Flags: Precursor >gi|12291|emb|CAA23473.1| ribulose 1,5-bisphophate carboxylase (chloroplast) [Spinacia oleracea]",reference,I
"gi|2978568|gb|AAC38280.1| ribulose-1,5-bisphosphate carboxylase/oxygenase [endosymbiont of Riftia pachyptila]",reference,II
gi|503280792|ref|WP_013515453.1| ribulose-bisphosphate carboxylase [Desulfovibrio aespoeensis] >gi|316944493|gb|ADU63544.1| Ribulose-bisphosphate carboxylase [Desulfovibrio aespoeensis Aspo-2],reference,II
RBC4_6 gi|503663498|ref|WP_013897574.1|,reference,II/III
RBCSeed_31 RIFCSPLOWO2_02_FULL_OP11_38_8_rifcsplowo2_02_scaffold_81990_5,Gottesmanbacteria,II/III
RBCSeed_26 gi|818320692|gb|KKQ04046.1|,Dojkabacteria,II/III
"gwa2_scaffold_913_23 Ribulose bisphosphate carboxylase, type III Tax=GWC2_OD1_39_14 id=5012952 bin=""GWA2_OD1_40_23"" species=GWC2_OD1_39_14 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Parcubacteria organism_tax=GWC2_OD1_39_14, Parcubacteria, Bacteria",Parcubacteria,IIIc
"RBG_19FT_COMBO_Archaea_DUSEL1_34_9_rbg_19ft_combo_scaffold_707_32 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RBG_13_Pacearchaeota_33_26_curated id=87218159 bin=""Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9"" species=RBG_13_Pacearchaeota_33_26_curated genus=unknown taxon_order=unknown taxon_class=Pacearchaeota phylum=DPANN organism_tax=RBG_13_Pacearchaeota_33_26_curated, Pacearchaeota, DPANN, Archaea",Pacearchaeota,IIIb
"RIFCSPHIGHO2_02_FULL_OP11_39_11_rifcsphigho2_02_scaffold_11740_29 ribulose bisphosphate carboxylase, type III; K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_11_curated id=87856221 bin=""Candidatus Gottesmanbacteria bacterium RIFCSPHIGHO2_02_FULL_39_11"" species=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_11_curated genus=unknown taxon_order=unknown taxon_class=Gottesmanbacteria phylum=Microgenomates organism_tax=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_11_curated",Gottesmanbacteria,IIIlike
"RIFOXYD1_FULL_OD1_43_11_rifoxyd1_full_scaffold_1226_10 hypothetical protein id=5801213 bin=GWE2_OD1_42_8 species=GW2011_OD1_1 genus=GW2011_OD1_1 taxon_order=GW2011_OD1_1 taxon_class=GW2011_OD1_1 phylum=OD1 tax=GWE2_OD1_42_8 organism_group=OD1 (Parcubacteria) organism_desc=GW2011_OD1_1 GW2011_A id=89912720 bin=""Candidatus Veblenbacteria bacterium RIFOXYD1_FULL_43_11"" species=Parcubacteria bacterium GW2011_GWF1_43_9 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Parcubacteria organism_tax=Parcubacteria, Bacteria",Veblenbacteria,IIIlike
"gi|110620422|emb|CAJ35700.1| ribulose 1,5-bisphosphate carboxylase (RuBisCO),large subunit [Methanocella arvoryzae MRE50]",reference,IIIa
"gi|851165346|ref|WP_048093891.1| type III ribulose-bisphosphate carboxylase [Candidatus Methanoperedens nitroreducens] >gi|630828655|gb|KCZ70371.1| ribulose bisphosphate carboxylase, type III [Candidatus Methanoperedens nitroreducens]",reference,IIIb
gi|659880890|ref|WP_029927633.1| ribulose-bisphosphate carboxylase large subunit [Nocardia otitidiscaviarum],reference,I
"gi|494128236|ref|WP_007068008.1| ribulose-bisphosphate carboxylase [Fulvimarina pelagi] >gi|114538512|gb|EAU41633.1| putative ribulose bisphosphate carboxylaseoxygenase,large subunit [Fulvimarina pelagi HTCC2506]",reference,IV
TARA_137.SAMEA2623314.375.0.22-3_679068_26 /annotation=ribulose bisophosphate carboxylase/domain=Archaea /phylum=Pacearchaeota,Pacearchaeota,IIIb
"TARA_039.SAMEA2620106.270.0.1-0.22_774_36 /annotation=ribulose bisphosphate carboxylase, type III (EC:4.1.1.39) /ngenes=45",Pacearchaeota,IIIlike
"TARA_039.SAMEA2620106.270.0.1-0.22_3514_9 /annotation=ribulose bisphosphate carboxylase, type III (EC:4.1.1.39) /domain=Archaea",Pacearchaeota,IIIlike
gi|491145762|ref|WP_005004162.1| ribulose-bisphosphate carboxylase large subunit [Nitrococcus mobilis] >gi|88792058|gb|EAR23168.1| methionine sulfoxide reductase A [Nitrococcus mobilis Nb-231],reference,I
gi|500666180|ref|WP_011969556.1| ribulose bisphosphate carboxylase large chain [Sinorhizobium medicae] >gi|150376071|ref|YP_001312667.1| ribulose bisophosphate carboxylase (plasmid) [Sinorhizobium medicae WSM419] >gi|160112878|sp|P56889.2|RBL1_SINMW RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit >gi|150030618|gb|ABR62734.1| Ribulose-bisphosphate carboxylase (plasmid) [Sinorhizobium medicae WSM419],reference,I
gi|754519340|ref|WP_041930003.1| ribulose-bisphosphate carboxylase large subunit [Methylibium petroleiphilum],reference,I
RBC3_1 WP_012823967.1,reference,II
RBC4_4 gi|504865161|ref|WP_015052263.1|,reference,II/III
RBCSeed_14 gi|502802415|ref|WP_013037391.1|,reference,II/III
gi|499642367|ref|WP_011323101.1| type III ribulose-bisphosphate carboxylase [Natronomonas pharaonis] >gi|76557892|emb|CAI49476.1| ribulose-bisphosphate carboxylase [Natronomonas pharaonis DSM 2160],reference,IIIb
gi|494803605|ref|WP_007539013.1| type III ribulose-bisphosphate carboxylase [Haloferax larsenii] >gi|445732660|gb|ELZ84242.1| ribulose bisophosphate carboxylase [Haloferax larsenii JCM 13917],reference,IIIb
gi|504680960|ref|WP_014868062.1| ribulose-bisphosphate carboxylase large subunit [Methanoculleus bourgensis] >gi|396939834|emb|CCJ37089.1| ribulose bisophosphate carboxylase [Methanoculleus bourgensis MS2],reference,IIIb
RBCSeed_30 gwf2_scaffold_9_343,Dojkabacteria,II/III
"cg1_0.2_scaffold_1669_c_9 ribulose-bisphosphate carboxylase (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_PER_02 id=92601598 bin=""CG1_02_FULL_Peregrinibacteria_44_21_curated"" species=CG_PER_02 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Peregrinibacteria organism_tax=CG_PER_02, Peregrinibacteria, Bacteria",reference,II/III
"RIFOXYC2_FULL_OD1_48_21_rifoxyc2_full_scaffold_977_4 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RIFOXYC2_FULL_OD1_Falkowbacteria_48_21_curated id=89843297 bin=""Candidatus Falkowbacteria bacterium RIFOXYC2_FULL_48_21"" species=RIFOXYC2_FULL_OD1_Falkowbacteria_48_21_curated genus=unknown taxon_order=unknown taxon_class=Falkowbacteria phylum=Parcubacteria organism_tax=RIFOXYC2_FULL_OD1_Falkowbacteria_48_21_curated",Falkowbacteria,IIIc
"cg2_3.0_scaffold_3725_c_7 rbcL; ribulose bisophosphate carboxylase (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_CPR13_01 id=92654147 bin=""CG2_30_FULL_CPR_37_22_curated"" species=CG_CPR13_01 genus=unknown taxon_order=unknown taxon_class=unknown phylum=CG_CPR13 organism_tax=CG_CPR13_01, CG_CPR13, Bacteria",Patescibacteria,IIIc
"cg1_0.2_scaffold_5501_c_7 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Pacearch_02 id=91909797 bin=""CG1_02_FULL_Pacearchaeota_35_32_curated"" species=CG_Pacearch_02 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Pacearchaeota organism_tax=CG_Pacearch_02, Pacearchaeota, Archaea",Pacearchaeota,IIIb
"gwa2_scaffold_143220_2 Ribulose bisphosphate carboxylase, type III Tax=OP11_GWA2_32_13 id=2264872 bin=""OP11_GWA2_32_13"" species=OP11_GWA2_32_13 genus=unknown taxon_order=unknown taxon_class=Roizmanbacteria phylum=Microgenomates organism_tax=OP11_GWA2_32_13, Roizmanbacteria, Microgenomates, Bacteria organism_desc=partial",Roizmanbacteria,IIIlike
"gwd1_scaffold_1521_5 Ribulose-bisphosphate carboxylase {ECO:0000313|EMBL:KKT85720.1}; TaxID=1618939 species=""Bacteria; Parcubacteria.;"" source=""Parcubacteria bacterium GW2011_GWD1_44_9.;"" id=2345555 bin=""GWD1_OD1_44_9_partial"" species=Parcubacteria bacterium GW2011_GWD1_44_9 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Parcubacteria organism_tax=GWC1_OD1_43_30, Parcubacteria, Bacteria",Parcubacteria,IV
gi|1176153972|gb|OQX71191.1| type III ribulose-bisphosphate carboxylase [Candidatus Parcubacteria bacterium 4484_255],Parcubacteria,IIIc
gi|1176153972|gb|OQX71191.1| type III ribulose-bisphosphate carboxylase [Candidatus Parcubacteria bacterium 4484_255],reference,IIIc
gi|1176154198|gb|OQX71398.1| type III ribulose-bisphosphate carboxylase [Candidatus Parcubacteria bacterium 4484_255],Parcubacteria,IIIc
gi|1176154198|gb|OQX71398.1| type III ribulose-bisphosphate carboxylase [Candidatus Parcubacteria bacterium 4484_255],reference,IIIc
gi|518884741|ref|WP_020040616.1| ribulose-bisphosphate carboxylase large subunit [Salipiger mucosus] >gi|528097763|gb|EPX79483.1| Ribulose bisphosphate carboxylase large chain [Salipiger mucosus DSM 16094],reference,I
"gi|499235892|ref|WP_010933432.1| ribulose bisphosphate carboxylase-like protein [Chlorobaculum tepidum] >gi|21674586|ref|NP_662651.1| ribulose bisphosphate carboxylase, large subunit [Chlorobium tepidum TLS] >gi|73621445|sp|Q8KBL4.1|RBLL_CHLTE RecName: Full=Ribulose bisphosphate carboxylase-like protein; Short=RuBisCO-like protein >gi|55669908|pdb|1TEL|A Chain A, Crystal Structure Of A Rubisco-Like Protein From Chlorobium Tepidum >gi|55669909|pdb|1TEL|B Chain B, Crystal Structure Of A Rubisco-Like Protein From Chlorobium Tepidum >gi|21647784|gb|AAM72993.1| ribulose bisphosphate carboxylase, large subunit [Chlorobium tepidum TLS]",reference,IV
"gi|499228489|ref|WP_010926029.1| ribulose-bisphosphate carboxylase [Bordetella bronchiseptica] >gi|81175002|sp|Q7WNK2.1|RBLL_BORBR RecName: Full=Uncharacterized ribulose bisphosphate carboxylase-like protein; Short=RuBisCO-like protein >gi|33567621|emb|CAE31534.1| putative ribulose bisphosphate carboxylaseoxygenase,large subunit [Bordetella bronchiseptica RB50] >gi|620707103|gb|KAK66377.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [Bordetella bronchiseptica 980-2] >gi|627896366|gb|KCV51472.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [Bordetella bronchiseptica 3E44] >gi|627902442|gb|KCV57153.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [Bordetella bronchiseptica 980] >gi|633398875|gb|KDB84842.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [Bordetella bronchiseptica D756] >gi|633406845|gb|KDB92504.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [Bordetella bronchiseptica D989] >gi|633580524|gb|KDD52023.1| ribulose bisphosphate carboxylase large chain, catalytic domain protein [Bordetella bronchiseptica RB630] >gi|991924307|gb|AMG87513.1| ribulose 1,5-bisphosphate carboxylase [Bordetella bronchiseptica]",reference,IV
TARA_037.SAMEA2619970.600.0.22-1.6_146284_3 /annotation=ribulose bisphosphate carboxylase type III/domain=Archaea /phylum=Pacearchaeota,Pacearchaeota,IIIb
"TARA_037.SAMEA2619974.600.0.1-0.22_6329_9 /annotation=Ribulose bisphosphate carboxylase, type III /ngenes=18",Pacearchaeota,IIIb
"gi|505264786|ref|WP_015451888.1| ribulose-bisphosphate carboxylase large subunit [Azoarcus sp. KH32C] >gi|358639818|dbj|BAL27114.1| ribulose bisphosphate carboxylase, large subunit (plasmid) [Azoarcus sp. KH32C]",reference,I
"gi|499835513|ref|WP_011516247.1| MULTISPECIES: ribulose bisphosphate carboxylase large chain [Burkholderiales] >gi|115502604|sp|Q1LN92.1|RBL_RALME RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit >gi|93354295|gb|ABF08384.1| ribulose 1,5-bisphosphate carboxylase/oxygenase, RuBisCo (type I) large subunit (CbbL) [Cupriavidus metallidurans CH34] >gi|940790436|gb|KQB56257.1| ribulose 1,5-bisphosphate carboxylase [Acidovorax sp. SD340]",reference,I
"gi|498081293|ref|WP_010395449.1| MULTISPECIES: ribulose-bisphosphate carboxylase large subunit [Paracoccus] >gi|1183534472|emb|SMG41239.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Paracoccus sp. J56]",reference,I
"gi|1220464692|gb|ASO45429.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (plastid) [Pyropia sp.] >gi|1220464694|gb|ASO45430.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (plastid) [Pyropia sp.] >gi|1220464696|gb|ASO45431.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit, partial (plastid) [Pyropia sp.]",reference,I
"gi|730476|sp|Q08051.1|RBL_CHRCT RecName: Full=Ribulose bisphosphate carboxylase large chain; Short=RuBisCO large subunit >gi|456606|dbj|BAA39175.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit (chloroplast) [Pleurochrysis carterae]",reference,I
gi|497544748|ref|WP_009858946.1| ribulose-bisphosphate carboxylase large subunit [Rubrivivax benzoatilyticus] >gi|332112588|gb|EGJ12381.1| ribulose bisophosphate carboxylase [Rubrivivax benzoatilyticus JA2 = ATCC BAA-35],reference,I
"gi|760012558|ref|WP_043695793.1| ribulose-bisphosphate carboxylase large subunit [Synechococcus sp. KORDI-49] >gi|90655413|gb|ABD96254.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [uncultured marine type-A Synechococcus GOM 3M9] >gi|90655586|gb|ABD96423.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [uncultured marine type-A Synechococcus GOM 4P21] >gi|670931319|gb|AII47280.1| ribulose bisophosphate carboxylase [Synechococcus sp. KORDI-49]",reference,I
"gi|56565978|gb|AAV98336.1| synthetic ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Plastid transformation vector pcmtrLA]",reference,II
"gi|11545461|gb|AAG37859.1|AF298221_1 ribulose 1,5-bisphosphate carboxylase oxygenase large subunit precursor [Symbiodinium sp.]",reference,II
RBC_51 gi|3183152|sp|Q59462.3|RBL2_HYDMR,reference,II
RBC_26 gi|499782958|ref|WP_011463692.1|,reference,II
RBC4_5 gi|505138192|ref|WP_015325294.1|,reference,II/III
gi|491112585|ref|WP_004971045.1| type III ribulose-bisphosphate carboxylase [Haloferax denitrificans] >gi|445748915|gb|EMA00361.1| ribulose bisophosphate carboxylase [Haloferax denitrificans ATCC 35960],reference,IIIb
gi|445668339|gb|ELZ20969.1| ribulose bisophosphate carboxylase [Haloterrigena limicola JCM 13563],reference,IIIb
"gi|503448813|ref|WP_013683474.1| type III ribulose-bisphosphate carboxylase [Archaeoglobus veneficus] >gi|327316186|gb|AEA46802.1| ribulose bisphosphate carboxylase, type III [Archaeoglobus veneficus SNP6]",reference,IIIb
gi|500145680|ref|WP_011821683.1| type III ribulose-bisphosphate carboxylase [Hyperthermus butylicus] >gi|123978084|gb|ABM80365.1| Ribulose bisphosphate carboxylase [Hyperthermus butylicus DSM 5456],reference,IIIb
RBCSeed_7 gi|1101080583|gb|OIO40810.1|,Pacearchaeota,II/III
RBCSeed_7 gi|1101080583|gb|OIO40810.1|,reference,II/III
RBCSeed_29 gwc2_scaffold_145_63,Peregrinibacteria,II/III
RBCSeed_2 cg1_0.2_scaffold_107_c_58,Micrarchaeota,II/III
"RBG_16_Archaea_36_9_RBG_16_scaffold_36_87 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RBG_16_Micrarchaeota_36_9_curated id=86921465 bin=""Candidatus Micrarchaeota archaeon RBG_16_36_9"" species=RBG_16_Micrarchaeota_36_9_curated genus=unknown taxon_order=unknown taxon_class=unknown phylum=Micrarchaeota organism_tax=RBG_16_Micrarchaeota_36_9_curated",Micrarchaeota,IIIb
rifcsplowo2_01_scaffold_141933_1,Amesbacteria,IIIb
"cg1_0.2_scaffold_3272_c_4 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Gottesman_01 id=91888953 bin=""CG1_02_FULL_Gottesmanbakteria_OP11_37_22_curated"" species=CG_Gottesman_01 genus=unknown taxon_order=unknown taxon_class=Gottesmanbakteria phylum=Microgenomates organism_tax=CG_Gottesman_01, Gottesmanbakteria, Microgenomates, Bacteria",Gottesmanbacteria,IIIc
"cg1_0.2_scaffold_3272_c_4 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Gottesman_01 id=91888953 bin=""CG1_02_FULL_Gottesmanbakteria_OP11_37_22_curated"" species=CG_Gottesman_01 genus=unknown taxon_order=unknown taxon_class=Gottesmanbakteria phylum=Microgenomates organism_tax=CG_Gottesman_01, Gottesmanbakteria, Microgenomates, Bacteria",reference,IIIc
"RIFCSPHIGHO2_01_FULL_OD1_39_14_rifcsphigho2_01_scaffold_71123_4 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RBG_16_Archaea_50_20_curated id=87383137 bin=""Candidatus Buchananbacteria bacterium RIFCSPHIGHO2_01_FULL_39_14"" species=RBG_16_Archaea_50_20_curated genus=unknown taxon_order=unknown taxon_class=unknown phylum=unknown organism_tax=RIFCSPHIGHO2_02_FULL_OD1_Falkowbacteria_39_17_curated, Falkowbacteria, Parcubacteria, Bacteria",Buchananbacteria,IIIb
"RBG_16_OP11_38_7b_RBG_16_scaffold_13163_2 ribulose bisphosphate carboxylase, type III; K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_14_curated id=87150874 bin=""Candidatus Gottesmanbacteria bacterium RBG_16_38_7b"" species=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_14_curated genus=unknown taxon_order=unknown taxon_class=Gottesmanbacteria phylum=Microgenomates organism_tax=RIFCSPHIGHO2_02_FULL_OP11_Gottesmanbacteria_39_14_curated, Gottesmanbacteria, Microgenomates, Bacteria",Gottesmanbacteria,IIIlike
"cg1_0.2_scaffold_3141_c_19 ribulose bisphosphate carboxylase, type III (EC:4.1.1.39); K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=CG_Pacearch_03 id=91911077 bin=""CG1_02_FULL_Pacearchaeota_39_14_curated"" species=CG_Pacearch_03 genus=unknown taxon_order=unknown taxon_class=unknown phylum=Pacearchaeota organism_tax=CG_Pacearch_03, Pacearchaeota, Archaea",Pacearchaeota,IIIb
"RBG_13_OP11_45_10_RBG_13_scaffold_565_32 ribulose bisophosphate carboxylase Tax=RBG_13_OP11_Gottesmanbacteria_45_10_curated id=86870363 bin=""Candidatus Gottesmanbacteria bacterium RBG_13_45_10"" species=RBG_13_OP11_Gottesmanbacteria_45_10_curated genus=unknown taxon_order=unknown taxon_class=Gottesmanbacteria phylum=Microgenomates organism_tax=RBG_13_OP11_Gottesmanbacteria_45_10_curated",Gottesmanbacteria,IIIlike
"RBG_16_OP11_37_8_RBG_16_scaffold_34109_9 ribulose bisphosphate carboxylase, type III; K01601 ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39] Tax=RBG_16_OP11_Gottesmanbacteria_37_8_curated id=87148575 bin=""Candidatus Gottesmanbacteria bacterium RBG_16_37_8"" species=RBG_16_OP11_Gottesmanbacteria_37_8_curated genus=unknown taxon_order=unknown taxon_class=Gottesmanbacteria phylum=Microgenomates organism_tax=RBG_16_OP11_Gottesmanbacteria_37_8_curated",Gottesmanbacteria,IIIlike
"gwc1_scaffold_1390_11 Ribulose bisphosphate carboxylase, type III {ECO:0000313|EMBL:KKP92735.1}; TaxID=1619090 species=""Bacteria; candidate division WS6.;"" source=""candidate division WS6 bacterium GW2011_GWC1_36_11.;"" id=2669238 bin=""GWC1_WS6_36_11"" species=GWC1_WS6_36_11 genus=unknown taxon_order=unknown taxon_class=unknown phylum=WS6 organism_tax=Dojkabacteria",Dojkabacteria,IIIlike
"gwc1_scaffold_103_93 Ribulose bisophosphate carboxylase, ribulose-bisphosphate carboxylase large chain {ECO:0000313|EMBL:KKP44747.1}; EC=4.1.1.39 {ECO:0000313|EMBL:KKP44747.1};; TaxID=1619089 species=""Bacteria; candidate id=5099737 bin=""WS6_GWC1_33_20"" species=WS6_GWC1_33_20 genus=unknown taxon_order=unknown taxon_class=unknown phylum=WS6 organism_tax=Dojkabacteria organism_desc=IN PAPER CLONED BY TABITA-INACTIVE",Dojkabacteria,IIIlike
"gwa2_scaffold_24083_5 Ribulose 1,5-bisphosphate carboxylase, large subunit Tax=GWA2_OP11_43_10 id=3610793 bin=""GWA2_OP11_43_10"" species=GWA2_OP11_43_10 genus=unknown taxon_order=unknown taxon_class=Beckwithbacteria phylum=Microgenomates organism_tax=GWA2_OP11_43_10, Beckwithbacteria, Microgenomates, Bacteria",Beckwithbacteria,IVlike
gi|490137203|ref|WP_004037562.1| ribulose bisphosphate carboxylase large chain [Methanofollis liminatans] >gi|395441601|gb|EJG06358.1| ribulose bisphosphate carboxylase large chain [Methanofollis liminatans DSM 4140],reference,IIIa
gi|282156100|dbj|BAI61188.1| ribulose bisphosphate carboxylase [Methanocella paludicola SANAE],reference,IIIa
"gi|499635370|ref|WP_011316104.1| Ribulose bisphosphate carboxylase large chain 2 [Nitrobacter winogradskyi] >gi|115502574|sp|Q3SNG2.1|RBL1B_NITWN RecName: Full=Ribulose bisphosphate carboxylase large chain 2; Short=RuBisCO large subunit 2 >gi|74421980|gb|ABA06179.1| ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Nitrobacter winogradskyi Nb-255]",reference,I
gi|655866672|ref|WP_028963129.1| ribulose-bisphosphate carboxylase large subunit [Sulfobacillus thermosulfidooxidans],reference,I
