,Variant,mean norm rate [s-1],norm rate [s-1] sem,norm rate [s-1] std,norm rate [s-1] N,mean kcat,kcat sem,kcat std,kcat N,mean KM,KM sem,KM std,KM N,ID,Query,QID,type,index
28,RBC4_30,7.7,2.2,3.7,3,8.0,2.8,4.8,3,194.9,,,1,RBC4_30,Thiomonas sp. CB2,RBC4_30,II,27
29,RBC_60,7.7,0.4,0.5,2,6.5,1.1,1.6,2,,,,0,RBC_60,Rhodobacter sp. SW2,RBC_60,II,28
30,RBC4_33,7.7,0.2,0.3,2,8.6,1.8,2.6,2,,,,0,RBC4_33,sulfur-oxidizing symbionts,RBC4_33,II,29
31,RBC_63,7.6,0.0,0.0,2,6.9,0.0,0.1,2,,,,0,RBC_63,Rhodopseudomonas palustris,RBC_63,II,30
32,RBC4_55,7.6,2.2,3.8,3,7.9,2.3,4.1,3,354.8,,,1,RBC4_55,Thiobacillus sp. SCN 63-57,RBC4_55,II,31
33,RBC4_17,7.6,,,1,8.8,1.7,2.4,2,194.8,,,1,RBC4_17,Lamprocystis purpurea,RBC4_17,II,32
34,RBC4_67,7.5,2.9,4.1,2,6.7,2.1,3.0,2,1864.4,,,1,RBC4_67,Rhodobacter vinaykumarii,RBC4_67,II,33
35,RBC4_45,7.4,,,1,12.3,,,1,,,,0,,Tara metagenome,RBC4_45,II,34
36,RBC4_61,7.3,2.4,4.2,3,7.2,2.2,3.9,3,192.6,,,1,RBC4_61,Dechloromonas aromatica,RBC4_61,II,35
37,RBC4_34,7.1,,,1,7.2,2.3,3.3,2,161.0,,,1,RBC4_34,Rhodoblastus acidophilus,RBC4_34,II,36
38,Rr,7.0,0.3,0.0,3,7.0,0.3,1.9,33,140.2,10.2,24.9,6,Rr,Rhodospirillum rubrum,,II,37
39,RBC4_9,7.0,,,1,7.3,,,1,,,,0,RBC4_9,Mariprofundus micogutta,RBC4_9,II,38
40,RBCSeed_23,7.0,,,1,10.6,,,1,,,,0,RBCSeed_23,Symbiodinium sp.,RBCSeed_23,II,39
41,RBC4_36,6.8,0.9,1.6,3,7.9,0.3,0.5,3,160.0,,,1,RBC4_36,Rhodopseudomonas palustris,RBC4_36,II,40
42,RBC2_38,6.8,0.9,1.2,2,10.6,1.5,2.1,2,,,,0,RBC2_38,Magnetospirillum gryphiswaldense,RBC2_38,II,41
43,RBC4_50,6.8,2.1,3.0,2,6.7,2.3,3.2,2,,,,0,RBC4_50,Acidithiobacillus albertensis,RBC4_50,II,42
44,RBCSeed_9,6.6,,,1,6.6,1.3,1.8,2,123.3,,,1,RBCSeed_9,Magnetospirillum sp. 64-120,RBCSeed_9,II,43
45,RBC4_25,6.6,0.4,0.6,2,5.4,0.6,0.9,2,109.8,,,1,RBC4_25,Sedimenticola selenatireducens,RBC4_25,II,44
46,RBCSeed_22,6.4,0.6,0.9,2,10.0,1.2,1.7,2,,,,0,RBCSeed_22,Thermopetrobacter sp. TC1,RBCSeed_22,II,45
47,RBC4_69,6.3,1.5,2.5,3,6.4,1.4,2.5,3,1048.7,,,1,RBC4_69,Rhodobacterales bacterium,RBC4_69,II,46
48,RBC4_37,6.3,,,1,8.4,,,1,,,,0,RBC4_37,Acidobacteria bacterium,RBC4_37,II,47
49,RBC4_32,6.1,3.2,4.6,2,4.5,1.9,2.7,2,,,,0,RBC4_32,Sediminimonas qiaohouensis,RBC4_32,II,48
50,RBC4_42,6.0,0.8,1.1,2,6.8,0.2,0.3,2,19.7,,,1,RBC4_42,Nitrincola sp. A-D6,RBC4_42,II,49
51,RBC_45,5.9,,,1,4.3,,,1,,,,0,RBC_45,Magnetospirillum magnetotacticum,RBC_45,II,50
52,RBC4_18,5.8,1.1,1.5,2,6.5,0.1,0.1,2,153.3,,,1,RBC4_18,Thiohalomonas denitrificans,RBC4_18,II,51
53,RBC_31,5.7,1.5,2.2,2,8.5,3.0,4.2,2,,,,0,RBC_31,Zetaproteobacteria bacterium,RBC_31,II,52
54,RBC2_43,5.7,0.9,1.3,2,6.0,0.2,0.4,2,110.0,,,1,RBC2_43,Magnetospirillum sp. ME-1,RBC2_43,II,53
55,RBC_33,5.6,1.3,1.8,2,4.3,0.7,0.9,2,,,,0,RBC_33,Rhodopseudomonas palustris,RBC_33,II,54
56,RBC4_26,5.4,,,1,3.7,,,1,,,,0,RBC4_26,Candidatus Thiodiazotropha,RBC4_26,II,55
57,RBC4_41,5.4,,,1,7.2,,,1,,,,0,,Tara metagenome,RBC4_41,II,56
58,RBCSeed_29,5.2,,,1,4.9,,,1,,,,0,RBCSeed_29,Candidatus Peregrinibacteria,RBCSeed_29,II/III,57
59,RBCSeed_6,4.9,,,1,4.0,,,1,,,,0,RBCSeed_6,Gallionellales bacterium,RBCSeed_6,II,58
61,RBC2_39,4.3,,,1,6.5,,,1,,,,0,RBC2_39,Rhodobacter capsulatus,,II,59
62,RBC_22,4.2,0.1,0.1,2,3.3,0.2,0.3,2,,,,0,RBC_22,uncultured organism,RBC_22,II,60
63,RBC4_70,4.1,,,1,3.3,,,1,,,,0,RBC4_70,Roseospirillum parvum,RBC4_70,II,61
64,RBC_47,4.0,,,1,3.3,,,1,,,,0,RBC_47,Rhodovulum sulfidophilum,RBC_47,II,62
65,RBC4_39,3.5,,,1,4.7,,,1,,,,0,RBC4_39,Bathymodiolus septemdierum,RBC4_39,II,63
66,RBC_94,3.0,2.8,3.9,2,2.7,2.2,3.1,2,,,,0,RBC_94,endosymbiont of Ridgeia piscesae,RBC_94,II,64
67,RBC2_36,2.9,,,1,2.5,,,1,,,,0,RBC2_36,Mariprofundus ferrooxydans,RBC2_36,II,65
68,RBC_18,2.9,,,1,2.1,,,1,,,,0,RBC_18,Leptonema illini,RBC_18,II,66
69,RBC4_31,2.9,,,1,2.0,,,1,,,,0,,Tara metagenome,RBC4_31,II,67
70,RBCSeed_10,2.8,2.2,3.1,2,2.8,2.3,3.2,2,,,,0,RBCSeed_10,Insolitispirillum peregrinum,RBCSeed_10,II,68
71,RBC4_47,2.7,,,1,4.6,,,1,,,,0,RBC4_47,Solemya velesiana gill symbiont,RBC4_47,II,69
72,RBCSeed_8,2.3,1.1,1.8,3,1.9,0.9,1.6,3,153854622239.2,,,1,RBCSeed_8,Candidatus Peregrinibacteria,RBCSeed_8,II/III,70
73,RBC2_37,2.1,,,1,2.0,,,1,,,,0,RBC2_37,Verrucomicrobia bacterium LP2A,RBC2_37,II,71
74,RBC4_8,2.1,,,1,1.4,,,1,,,,0,RBC4_8,Burkholderiales bacterium,RBC4_8,II,72
75,RBC4_68,2.1,,,1,2.1,,,1,,,,0,RBC4_68,Rhodospirillales bacterium,RBC4_68,II,73
76,RBC4_21,2.0,1.3,1.8,2,2.5,2.0,2.9,2,,,,0,RBC4_21,Hoeflea sp. BRH_c9,RBC4_21,II,74
78,RBCSeed_16,1.4,0.0,0.0,2,2.2,1.1,2.0,3,,,,0,RBCSeed_16,Verrucomicrobium sp. 3C,RBCSeed_16,II,75
79,RBC4_71,1.4,,,1,1.1,,,1,,,,0,RBC4_71,Comamonadaceae bacterium,RBC4_71,II,76
80,RBC4_16,0.9,0.4,0.7,3,1.1,0.6,1.1,3,,,,0,RBC4_16,Desulfotomaculum putei,RBC4_16,II,77
81,RBC4_51,0.9,,,1,0.9,,,1,,,,0,RBC4_51,Magnetospira sp. QH-2,RBC4_51,II,78
