binomial,isoform,Remove
Flaveria angustifolia,1,
Flaveria anomala,1,
Flaveria australasica,1,
Flaveria bidentis,1,
Flaveria brownii,1,
Flaveria chlorifolia,1,
Flaveria cronquistii,1,
Flaveria floridana,1,
Flaveria kochiana,1,
Flaveria linearis,1,
Flaveria palmeri,1,
Flaveria pringlei,1,
Flaveria ramosissima,1,
Flaveria sonorensis,1,
Flaveria trinervia,1,
Flaveria vaginata,1,
Flueggea suffruticosa,1,
Foeniculum vulgare,1,
Fragilariopsis cylindrus,1,
Galdieria partita,1,
Galdieria sulphuraria,1,
Glycine canescens,1,
Glycine max,1,
Griffithsia monilis,1,
Hordeum brachyantherum,1,
Hordeum murinum,1,
Hordeum vulgare,1,
Ipomoea batatas,1,
Iris douglasiana,1,
Lablab purpureus,1,
Lactuca sativa,1,
Lepidium campestre,1,
Limonium antonii-llorensii,1,
Limonium artruchium,1,
Limonium balearicum,1,
Limonium barceloi,1,
Limonium biflorum,1,
Limonium companyonis,1,
Limonium echioides,1,
Limonium ejulabilis,1,
Limonium gibertii,1,
Limonium grosii,1,
Limonium gymnesicum,1,
Limonium latebracteatum,1,
Limonium leonardi-llorensii,1,
Limonium magallufianum,1,
Limonium retusum,1,
Limonium stenophyllum,1,
Limonium virgatum,1,
Lolium multiflorum,1,
Lolium rigidum,1,
Macrotyloma uniflorum,1,
Manihot esculenta,1,
Marchantia polymorpha,1,
Medicago sativa,1,
Megathyrsus maximus,1,
Mercurialis annua,1,
Metasequoia glyptostroboides,1,
Methanococcoides burtonii,2_3,
Musa velutina,1,
Nicotiana tabacum,1,
Nymphaea alba,1,
Olisthodiscus luteus,1,
Oryza barthii,1,
Oryza eichingeri,1,
Oryza glaberrima,1,
Oryza glumipatula,1,
Oryza longistaminata,1,
Oryza meridionalis,1,
Oryza nivara,1,
Oryza punctata,1,
Oryza sativa,1,
Oxybasis rubra,1,
Pallenis maritima,1,
Panicum amarum,1,
Panicum antidotale,1,
Panicum bisulcatum,1,
Panicum coloratum,1,
Panicum deustum,1,
Panicum dichotomiflorum,1,
Panicum miliaceum,1,
Panicum milioides,1,
Panicum monticola,1,
Panicum phragmitoides,1,
Panicum virgatum,1,
Pavlova lutheri,1,
Phaeodactylum tricornutum,1,
Phaseolus carteri,1,
Phaseolus coccineus,1,
Phaseolus lunatus,1,
Phaseolus vulgaris,1,
Platycerium superbum,1,
Pleurochrysis carterae,1,
Poa palustris,1,
Porphyridium purpureum,1,
Portulaca oleracea,1,
Prochlorococcus marinus,1,
Pteridium aquilinum,1,
Puccinellia distans,1,
Puccinellia lemmonii,1,
Puccinellia maritima,1,
Puccinellia nuttalliana,1,
Pueraria montana,1,
Rhodobacter sphaeroides,1,
Rhodopseudomonas palustris,2,
Rhodospirillum rubrum,2,
RrCt chimera,2,1
Saccharum officinarum,1,
Sarracenia flava,1,
Secale cereale,1,
Setaria viridis,1,
Sideritis cretica,1,
Skeletonema marinoi,1,
Solanum lycopersicum,1,
Solanum tuberosum,1,
Sorghum bicolor,1,
Sphenostylis stenocarpa,1,
Spinacia oleracea,1,
Steinchisma laxum,1,
Synechococcus 7515,1,
Synechococcus elongatus,1,
Synechococcus sp.,1,
Tephrosia candida,1,
Tephrosia purpurea,1,
Tephrosia rhodesica,1,
Teucrium heterophyllum,1,
Thalassiosira oceanica,1,
Thalassiosira weissflogii,1,
Thermococcus kodakaraensis,3,
Thermosynechococcus elongatus,1,
Thiobacillus denitrificans,1,
Thiobacillus denitrificans,2,
Tisochrysis lutea,1,
Trachycarpus fortunei,1,
Triticale (Cando),1,
Triticale (Rotego),1,
Triticale (Talentro),1,
Triticum aestivum,1,
Triticum dicoccon,1,
Triticum monococcum,1,
Triticum timonovum,1,
Triticum timopheevii,1,
Urochloa mosambicensis,1,
Urochloa panicoides,1,
Zea mays,1,
Methanococcus jannaschii,3,
Methanosarcina acetivorans,3,
